DateOfGame: 24-06-2023 21:12:34, Player score: 2, AI score: 0, Duration: 5567milliseconds
DateOfGame: 24-06-2023 21:13:57, Player score: 0, AI score: 0, Duration: 1975milliseconds
DateOfGame: 24-06-2023 21:15:21, Player score: 1, AI score: 2, Duration: 2854milliseconds
DateOfGame: 24-06-2023 21:15:26, Player score: 0, AI score: 1, Duration: 4153milliseconds
DateOfGame: 24-06-2023 21:15:35, Player score: 2, AI score: 3, Duration: 8184milliseconds
DateOfGame: 24-06-2023 21:17:42, Player score: 2, AI score: 2, Duration: 6762milliseconds
DateOfGame: 24-06-2023 21:18:14, Player score: 7, AI score: 8, Duration: 30101milliseconds
DateOfGame: 24-06-2023 21:25:12, Player score: 0, AI score: 1, Duration: 3810milliseconds
DateOfGame: 24-06-2023 21:45:29, Player score: 1, AI score: 3, Duration: 8514milliseconds
DateOfGame: 24-06-2023 21:46:53, Player score: 2, AI score: 1, Duration: 9824milliseconds
DateOfGame: 24-06-2023 21:47:26, Player score: 6, AI score: 8, Duration: 31329milliseconds
DateOfGame: 24-06-2023 21:47:30, Player score: 1, AI score: 0, Duration: 2621milliseconds
DateOfGame: 24-06-2023 21:47:33, Player score: 1, AI score: 0, Duration: 1978milliseconds
DateOfGame: 24-06-2023 21:47:40, Player score: 3, AI score: 0, Duration: 6551milliseconds
DateOfGame: 24-06-2023 22:15:48, Player score: 2, AI score: 3, Duration: 15151milliseconds
DateOfGame: 24-06-2023 22:16:12, Player score: 3, AI score: 4, Duration: 15912milliseconds
DateOfGame: 24-06-2023 22:16:44, Player score: 1, AI score: 2, Duration: 6989milliseconds
DateOfGame: 24-06-2023 22:17:07, Player score: 4, AI score: 4, Duration: 18874milliseconds
DateOfGame: 24-06-2023 22:58:13, Player score: 0, AI score: 1, Duration: 2842milliseconds
DateOfGame: 25-06-2023 00:27:36, Player score: 1, AI score: 3, Duration: 7766milliseconds
DateOfGame: 25-06-2023 00:27:54, Player score: 2, AI score: 7, Duration: 16806milliseconds
